	lsoa11cd,imd_rank,imd_dec
E01000001,29199,9
E01000002,30379,10
E01000003,14915,5
E01000005,8678,3
E01000006,14486,5
E01000007,7256,3
E01000008,5010,2
E01000009,6736,3
E01000010,6900,3
E01000011,7698,3
E01000012,5990,2
E01000013,4573,2
E01000014,5650,2
E01000015,6405,2
E01000016,6739,3
E01000017,4570,2
E01000018,6504,2
E01000019,6410,2
E01000020,5520,2
E01000021,4611,2
E01000022,6098,2
E01000023,5243,2
E01000024,8333,3
E01000025,5303,2
E01000027,5097,2
E01000028,4240,2
E01000029,12389,4
E01000030,4760,2
E01000031,12267,4
E01000032,8037,3
E01000033,4879,2
E01000034,5575,2
E01000035,10070,4
E01000036,15028,5
E01000037,16128,5
E01000038,14671,5
E01000039,12542,4
E01000040,6028,2
E01000041,6601,3
E01000042,3842,2
E01000043,8992,3
E01000044,8825,3
E01000045,5639,2
E01000046,8138,3
E01000048,3117,1
E01000049,3928,2
E01000050,5994,2
E01000051,5228,2
E01000052,6549,2
E01000053,4249,2
E01000054,8124,3
E01000055,7604,3
E01000056,5571,2
E01000057,6712,3
E01000058,7176,3
E01000059,6950,3
E01000060,5475,2
E01000061,2802,1
E01000062,9781,3
E01000063,6520,2
E01000064,5791,2
E01000065,4296,2
E01000066,10329,4
E01000067,13573,5
E01000068,10421,4
E01000069,17580,6
E01000070,13531,5
E01000071,15370,5
E01000072,3974,2
E01000073,4645,2
E01000074,5870,2
E01000075,5215,2
E01000076,5451,2
E01000077,3967,2
E01000078,5874,2
E01000079,6057,2
E01000080,6596,3
E01000081,7738,3
E01000082,9100,3
E01000083,6111,2
E01000084,4315,2
E01000085,5838,2
E01000086,4822,2
E01000087,6122,2
E01000088,8574,3
E01000089,8508,3
E01000090,8873,3
E01000091,3669,2
E01000092,6348,2
E01000093,2669,1
E01000094,8930,3
E01000095,6984,3
E01000096,3997,2
E01000097,4866,2
E01000098,4455,2
E01000099,8373,3
E01000100,7152,3
E01000101,4126,2
E01000102,3557,2
E01000103,6708,3
E01000104,6002,2
E01000105,3229,1
E01000106,3355,2
