Lower layer Super Output Areas Code,Lower layer Super Output Areas,Age (5 categories) Code,Age (5 categories),Observation
E01000001,City of London 001A,1,Aged 15 years and under,125
E01000001,City of London 001A,2,Aged 16 to 24 years,110
E01000001,City of London 001A,3,Aged 25 to 34 years,291
E01000001,City of London 001A,4,Aged 35 to 49 years,336
E01000001,City of London 001A,5,Aged 50 years and over,616
E01000002,City of London 001B,1,Aged 15 years and under,86
E01000002,City of London 001B,2,Aged 16 to 24 years,123
E01000002,City of London 001B,3,Aged 25 to 34 years,300
E01000002,City of London 001B,4,Aged 35 to 49 years,301
E01000002,City of London 001B,5,Aged 50 years and over,574
E01000003,City of London 001C,1,Aged 15 years and under,110
E01000003,City of London 001C,2,Aged 16 to 24 years,114
E01000003,City of London 001C,3,Aged 25 to 34 years,353
E01000003,City of London 001C,4,Aged 35 to 49 years,368
E01000003,City of London 001C,5,Aged 50 years and over,669
E01000005,City of London 001E,1,Aged 15 years and under,139
E01000005,City of London 001E,2,Aged 16 to 24 years,195
E01000005,City of London 001E,3,Aged 25 to 34 years,216
E01000005,City of London 001E,4,Aged 35 to 49 years,208
E01000005,City of London 001E,5,Aged 50 years and over,340
E01000006,Barking and Dagenham 016A,1,Aged 15 years and under,414
E01000006,Barking and Dagenham 016A,2,Aged 16 to 24 years,222
E01000006,Barking and Dagenham 016A,3,Aged 25 to 34 years,305
E01000006,Barking and Dagenham 016A,4,Aged 35 to 49 years,471
E01000006,Barking and Dagenham 016A,5,Aged 50 years and over,434
E01000007,Barking and Dagenham 015A,1,Aged 15 years and under,748
E01000007,Barking and Dagenham 015A,2,Aged 16 to 24 years,298
E01000007,Barking and Dagenham 015A,3,Aged 25 to 34 years,678
E01000007,Barking and Dagenham 015A,4,Aged 35 to 49 years,792
E01000007,Barking and Dagenham 015A,5,Aged 50 years and over,391
E01000008,Barking and Dagenham 015B,1,Aged 15 years and under,537
E01000008,Barking and Dagenham 015B,2,Aged 16 to 24 years,267
E01000008,Barking and Dagenham 015B,3,Aged 25 to 34 years,247
E01000008,Barking and Dagenham 015B,4,Aged 35 to 49 years,396
E01000008,Barking and Dagenham 015B,5,Aged 50 years and over,348
E01000009,Barking and Dagenham 016B,1,Aged 15 years and under,396
E01000009,Barking and Dagenham 016B,2,Aged 16 to 24 years,186
E01000009,Barking and Dagenham 016B,3,Aged 25 to 34 years,321
E01000009,Barking and Dagenham 016B,4,Aged 35 to 49 years,466
E01000009,Barking and Dagenham 016B,5,Aged 50 years and over,435
E01000011,Barking and Dagenham 016C,1,Aged 15 years and under,382
E01000011,Barking and Dagenham 016C,2,Aged 16 to 24 years,222
E01000011,Barking and Dagenham 016C,3,Aged 25 to 34 years,291
E01000011,Barking and Dagenham 016C,4,Aged 35 to 49 years,440
E01000011,Barking and Dagenham 016C,5,Aged 50 years and over,366
E01000012,Barking and Dagenham 015D,1,Aged 15 years and under,769
E01000012,Barking and Dagenham 015D,2,Aged 16 to 24 years,246
E01000012,Barking and Dagenham 015D,3,Aged 25 to 34 years,387
E01000012,Barking and Dagenham 015D,4,Aged 35 to 49 years,578
E01000012,Barking and Dagenham 015D,5,Aged 50 years and over,367
E01000013,Barking and Dagenham 013A,1,Aged 15 years and under,473
E01000013,Barking and Dagenham 013A,2,Aged 16 to 24 years,203
E01000013,Barking and Dagenham 013A,3,Aged 25 to 34 years,285
E01000013,Barking and Dagenham 013A,4,Aged 35 to 49 years,439
E01000013,Barking and Dagenham 013A,5,Aged 50 years and over,470
E01000014,Barking and Dagenham 013B,1,Aged 15 years and under,430
E01000014,Barking and Dagenham 013B,2,Aged 16 to 24 years,191
E01000014,Barking and Dagenham 013B,3,Aged 25 to 34 years,270
E01000014,Barking and Dagenham 013B,4,Aged 35 to 49 years,406
E01000014,Barking and Dagenham 013B,5,Aged 50 years and over,455
E01000015,Barking and Dagenham 009A,1,Aged 15 years and under,684
E01000015,Barking and Dagenham 009A,2,Aged 16 to 24 years,269
E01000015,Barking and Dagenham 009A,3,Aged 25 to 34 years,373
E01000015,Barking and Dagenham 009A,4,Aged 35 to 49 years,544
E01000015,Barking and Dagenham 009A,5,Aged 50 years and over,550
E01000016,Barking and Dagenham 009B,1,Aged 15 years and under,451
E01000016,Barking and Dagenham 009B,2,Aged 16 to 24 years,221
E01000016,Barking and Dagenham 009B,3,Aged 25 to 34 years,282
E01000016,Barking and Dagenham 009B,4,Aged 35 to 49 years,409
E01000016,Barking and Dagenham 009B,5,Aged 50 years and over,488
E01000017,Barking and Dagenham 009C,1,Aged 15 years and under,421
E01000017,Barking and Dagenham 009C,2,Aged 16 to 24 years,198
E01000017,Barking and Dagenham 009C,3,Aged 25 to 34 years,232
E01000017,Barking and Dagenham 009C,4,Aged 35 to 49 years,372
E01000017,Barking and Dagenham 009C,5,Aged 50 years and over,501
E01000018,Barking and Dagenham 009D,1,Aged 15 years and under,421
E01000018,Barking and Dagenham 009D,2,Aged 16 to 24 years,205
E01000018,Barking and Dagenham 009D,3,Aged 25 to 34 years,258
E01000018,Barking and Dagenham 009D,4,Aged 35 to 49 years,428
E01000018,Barking and Dagenham 009D,5,Aged 50 years and over,461
E01000019,Barking and Dagenham 023A,1,Aged 15 years and under,481
E01000019,Barking and Dagenham 023A,2,Aged 16 to 24 years,167
E01000019,Barking and Dagenham 023A,3,Aged 25 to 34 years,224
E01000019,Barking and Dagenham 023A,4,Aged 35 to 49 years,389
E01000019,Barking and Dagenham 023A,5,Aged 50 years and over,395
E01000020,Barking and Dagenham 023B,1,Aged 15 years and under,584
E01000020,Barking and Dagenham 023B,2,Aged 16 to 24 years,270
E01000020,Barking and Dagenham 023B,3,Aged 25 to 34 years,285
E01000020,Barking and Dagenham 023B,4,Aged 35 to 49 years,491
E01000020,Barking and Dagenham 023B,5,Aged 50 years and over,561
E01000021,Barking and Dagenham 008A,1,Aged 15 years and under,459
E01000021,Barking and Dagenham 008A,2,Aged 16 to 24 years,194
E01000021,Barking and Dagenham 008A,3,Aged 25 to 34 years,267
E01000021,Barking and Dagenham 008A,4,Aged 35 to 49 years,384
E01000021,Barking and Dagenham 008A,5,Aged 50 years and over,389
E01000022,Barking and Dagenham 008B,1,Aged 15 years and under,385
E01000022,Barking and Dagenham 008B,2,Aged 16 to 24 years,161
E01000022,Barking and Dagenham 008B,3,Aged 25 to 34 years,206
E01000022,Barking and Dagenham 008B,4,Aged 35 to 49 years,339
E01000022,Barking and Dagenham 008B,5,Aged 50 years and over,388
E01000024,Barking and Dagenham 008D,1,Aged 15 years and under,365
E01000024,Barking and Dagenham 008D,2,Aged 16 to 24 years,192
E01000024,Barking and Dagenham 008D,3,Aged 25 to 34 years,221
E01000024,Barking and Dagenham 008D,4,Aged 35 to 49 years,337
E01000024,Barking and Dagenham 008D,5,Aged 50 years and over,371
E01000025,Barking and Dagenham 008E,1,Aged 15 years and under,473
E01000025,Barking and Dagenham 008E,2,Aged 16 to 24 years,209
E01000025,Barking and Dagenham 008E,3,Aged 25 to 34 years,260
E01000025,Barking and Dagenham 008E,4,Aged 35 to 49 years,428
E01000025,Barking and Dagenham 008E,5,Aged 50 years and over,550
E01000027,Barking and Dagenham 001A,1,Aged 15 years and under,599
E01000027,Barking and Dagenham 001A,2,Aged 16 to 24 years,243
E01000027,Barking and Dagenham 001A,3,Aged 25 to 34 years,316
E01000027,Barking and Dagenham 001A,4,Aged 35 to 49 years,423
E01000027,Barking and Dagenham 001A,5,Aged 50 years and over,500
E01000028,Barking and Dagenham 001B,1,Aged 15 years and under,468
E01000028,Barking and Dagenham 001B,2,Aged 16 to 24 years,231
E01000028,Barking and Dagenham 001B,3,Aged 25 to 34 years,252
E01000028,Barking and Dagenham 001B,4,Aged 35 to 49 years,391
E01000028,Barking and Dagenham 001B,5,Aged 50 years and over,476
E01000029,Barking and Dagenham 001C,1,Aged 15 years and under,380
E01000029,Barking and Dagenham 001C,2,Aged 16 to 24 years,187
E01000029,Barking and Dagenham 001C,3,Aged 25 to 34 years,230
E01000029,Barking and Dagenham 001C,4,Aged 35 to 49 years,384
E01000029,Barking and Dagenham 001C,5,Aged 50 years and over,639
E01000030,Barking and Dagenham 001D,1,Aged 15 years and under,849
