Lower layer Super Output Areas Code,Lower layer Super Output Areas,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E01000001,City of London 001A,-8,Does not apply,609
E01000001,City of London 001A,1,"1. Managers, directors and senior officials",194
E01000001,City of London 001A,2,2. Professional occupations,407
E01000001,City of London 001A,3,3. Associate professional and technical occupations,185
E01000001,City of London 001A,4,4. Administrative and secretarial occupations,38
E01000001,City of London 001A,5,5. Skilled trades occupations,5
E01000001,City of London 001A,6,"6. Caring, leisure and other service occupations",20
E01000001,City of London 001A,7,7. Sales and customer service occupations,14
E01000001,City of London 001A,8,"8. Process, plant and machine operatives",6
E01000001,City of London 001A,9,9. Elementary occupations,4
E01000002,City of London 001B,-8,Does not apply,506
E01000002,City of London 001B,1,"1. Managers, directors and senior officials",218
E01000002,City of London 001B,2,2. Professional occupations,417
E01000002,City of London 001B,3,3. Associate professional and technical occupations,187
E01000002,City of London 001B,4,4. Administrative and secretarial occupations,35
E01000002,City of London 001B,5,5. Skilled trades occupations,3
E01000002,City of London 001B,6,"6. Caring, leisure and other service occupations",5
E01000002,City of London 001B,7,7. Sales and customer service occupations,3
E01000002,City of London 001B,8,"8. Process, plant and machine operatives",3
E01000002,City of London 001B,9,9. Elementary occupations,7
E01000003,City of London 001C,-8,Does not apply,613
E01000003,City of London 001C,1,"1. Managers, directors and senior officials",190
E01000003,City of London 001C,2,2. Professional occupations,390
E01000003,City of London 001C,3,3. Associate professional and technical occupations,215
E01000003,City of London 001C,4,4. Administrative and secretarial occupations,72
E01000003,City of London 001C,5,5. Skilled trades occupations,28
E01000003,City of London 001C,6,"6. Caring, leisure and other service occupations",27
E01000003,City of London 001C,7,7. Sales and customer service occupations,26
E01000003,City of London 001C,8,"8. Process, plant and machine operatives",10
E01000003,City of London 001C,9,9. Elementary occupations,42
E01000005,City of London 001E,-8,Does not apply,602
E01000005,City of London 001E,1,"1. Managers, directors and senior officials",52
E01000005,City of London 001E,2,2. Professional occupations,129
E01000005,City of London 001E,3,3. Associate professional and technical occupations,59
E01000005,City of London 001E,4,4. Administrative and secretarial occupations,45
E01000005,City of London 001E,5,5. Skilled trades occupations,21
E01000005,City of London 001E,6,"6. Caring, leisure and other service occupations",52
E01000005,City of London 001E,7,7. Sales and customer service occupations,34
E01000005,City of London 001E,8,"8. Process, plant and machine operatives",16
E01000005,City of London 001E,9,9. Elementary occupations,86
E01000006,Barking and Dagenham 016A,-8,Does not apply,959
E01000006,Barking and Dagenham 016A,1,"1. Managers, directors and senior officials",75
E01000006,Barking and Dagenham 016A,2,2. Professional occupations,126
E01000006,Barking and Dagenham 016A,3,3. Associate professional and technical occupations,99
E01000006,Barking and Dagenham 016A,4,4. Administrative and secretarial occupations,68
E01000006,Barking and Dagenham 016A,5,5. Skilled trades occupations,107
E01000006,Barking and Dagenham 016A,6,"6. Caring, leisure and other service occupations",82
