msoa11cd,age_total,age0to4pc,age5to14pc,age16to24pc,age25to44pc,age45to64pc,age75pluspc,nssec_total,1_higher_managerial,2_lower_managerial,3_intermediate_occupations,4_employers_small_org,5_lower_supervisory,6_semi_routine,7_routine,8_unemployed,avg_dwn_speed,avb_superfast,no_decent_bband,bband_speed_under2mbs,bband_speed_under10mbs,bband_speed_over30mbs
E02000001,7375,0.032,0.038779661,0.096135593,0.406915254,0.272542373,0.060745763,5816,0.384628611,0.339064649,0.078060523,0.064649243,0.025962861,0.044016506,0.026650619,0.036966988,24.4,0.544,0.002,0.013,0.249,0.203
E02000002,6775,0.092693727,0.121623616,0.113210332,0.280147601,0.185682657,0.09800738,3926,0.056800815,0.171166582,0.143148242,0.114620479,0.06444218,0.205298013,0.130157922,0.114365767,77.7,0.989,0.01,0.02,0.159,0.798
E02000003,10045,0.082926829,0.101543056,0.117969139,0.306022897,0.224888004,0.064609258,6483,0.081752275,0.207619929,0.182477248,0.110596946,0.070646306,0.155020824,0.096560234,0.095326238,74.3,0.99,0.002,0.008,0.164,0.784
E02000004,6182,0.059042381,0.102394047,0.138790036,0.254448399,0.2495956,0.088644452,4041,0.067804999,0.206384558,0.190794358,0.105419451,0.083642663,0.150705271,0.121504578,0.073744123,81.1,0.992,0.008,0.026,0.162,0.799
E02000005,8562,0.092968932,0.119364634,0.11948143,0.299462742,0.213618313,0.050105116,5368,0.049366617,0.166356185,0.156482861,0.104135618,0.087369598,0.192436662,0.144560358,0.099292101,70.7,0.97,0.03,0.021,0.223,0.737
E02000007,8791,0.103401206,0.125355477,0.128540553,0.284609259,0.19747469,0.068820384,5158,0.056417216,0.162659946,0.136099263,0.094028693,0.079682047,0.183210547,0.156455991,0.131446297,75.3,0.988,0.012,0.006,0.177,0.734
E02000008,11569,0.102169591,0.111591322,0.118938543,0.299507304,0.207796698,0.062321722,7152,0.041946309,0.158417226,0.154642058,0.100251678,0.079697987,0.189457494,0.154502237,0.121085011,72.9,0.995,0.005,0.004,0.153,0.736
E02000009,8395,0.097319833,0.107206671,0.131268612,0.321262656,0.207623585,0.04597975,5279,0.05190377,0.168592536,0.136389468,0.112521311,0.078613374,0.193786702,0.133169161,0.125023679,68.9,1,0,0.008,0.189,0.734
E02000010,8615,0.105629716,0.122228671,0.121532211,0.301450958,0.202901915,0.052002322,5243,0.045012397,0.167842838,0.147243944,0.104329582,0.08048827,0.185390044,0.148960519,0.120732405,73.5,0.999,0,0.002,0.039,0.709
E02000011,6187,0.08323905,0.100856635,0.129788266,0.268304509,0.241958946,0.069177307,3904,0.056096311,0.18545082,0.176229508,0.12295082,0.083504098,0.161372951,0.129098361,0.085297131,75.5,0.995,0.001,0.007,0.113,0.714
E02000012,9888,0.078580097,0.110436893,0.141788026,0.292779126,0.213996764,0.062601133,6056,0.090488771,0.207562748,0.163639366,0.128632761,0.059775429,0.139365918,0.087681638,0.122853369,76.8,0.999,0,0.004,0.132,0.803
E02000013,8402,0.105808141,0.126874554,0.110806951,0.302785051,0.202332778,0.052368484,5044,0.043616178,0.15999207,0.150872324,0.102299762,0.083663759,0.189333862,0.156225218,0.113996828,73.6,1,0,0.008,0.201,0.725
E02000014,9402,0.098170602,0.120931717,0.119229951,0.29259732,0.216975112,0.056264625,5826,0.041709578,0.149330587,0.135942327,0.099725369,0.083247511,0.199107449,0.170614487,0.120322691,73.5,1,0,0.003,0.04,0.718
E02000015,7563,0.102737009,0.115562607,0.132222663,0.309401031,0.196747322,0.052095729,4637,0.043993962,0.154625836,0.134138452,0.097476817,0.084106103,0.189777874,0.152037956,0.143843002,64.3,0.999,0.001,0.002,0.115,0.701
E02000016,7676,0.124413757,0.106826472,0.143694633,0.440463783,0.117378843,0.010552371,4563,0.098838483,0.195047118,0.100372562,0.10190664,0.064212141,0.153188692,0.108700416,0.177733947,53.4,0.939,0,0.003,0.044,0.569
E02000017,8498,0.08602024,0.098376088,0.14179807,0.366086138,0.186985173,0.040597788,5306,0.085375047,0.186581229,0.123256691,0.119110441,0.061628345,0.155672823,0.105917829,0.162457595,74.5,1,0,0.002,0.045,0.744
E02000018,8890,0.111586052,0.124634421,0.126096738,0.311698538,0.190438695,0.046231721,5356,0.046863331,0.15832711,0.136295743,0.103061987,0.090552651,0.190627334,0.143950709,0.130321135,71.5,0.999,0,0.014,0.192,0.752
